No,Pengguna,Rating,Tanggal,Isi Ulasan,Ground Truth,Prediksi Naive Bayes,Prediksi Gemma 3 LLM,Kategori Isu (LLM),Alasan Penalaran AI,Beda Pendapat ML vs LLM
3105,Elvira Winda,5,2026-08-21,mudah dan optimal,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3106,Soleh Hudin,5,2026-08-21,pelayanan yang ramah juga kepedulian yang tinggi,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3107,Heri Kurniawan,3,2026-08-21,menjengkelkan ketika harus update,Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3108,Galib libra,1,2026-08-21,kita di suruh pakek aplikasi ini untuk daftar. tapi kenapa setiap buka aplikasinya selau logout. hdi kita harus login lagi ferivikasi lagi. jadi memperlambat,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3109,Ruri Mahruri,1,2026-08-21,sangat buruk setiap mau login susah..kode otp ga ke krim trs..rakyat malah d perbukitan dengan adanya aplikasi ini..tolong kalau masih mau di pake yg serius donk bikin aplikasinya jngan setiap saat gangguan gagal terhubung.kode otp g k kirim2..ini pke anggaran pajak rakyat kn dananya tolong d perbaiki.,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3110,Ahmad Rizal,1,2026-08-21,"APLIKASI RIBET SEGALA DIBUAT VERMUK, MAU BEROBAT JUGA DI PERSULIT",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
3111,zul kifli,1,2026-08-21,"aplikasi gak jelas udah 2 hari nungguin SMS verifikasi gak bisa,katanya jaringan bermasalah..mending hapus aja dari playstore gak guna",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3112,Muhammad Taufiq,5,2026-08-21,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3113,Bunga Putih,1,2026-08-21,aplikasi eror mulu,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3114,Tuan Muda,1,2026-08-21,"hape saya tidak diroot kenapa terdeteksi root, ini bukan aplikasi perbankan tapi ketat banget, menyulitkan saja.",Negatif,Negatif,Negatif,Administrasi & Iuran,"Pengguna mengeluhkan kendala mutasi data pembayaran, pengecekan tagihan, atau status autodebet iuran.",false
3115,Aryana,5,2026-08-21,saat ini saya tidak bisa akses Mobile JKN,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3116,Eko Basuki Rachmat,3,2026-08-21,"ini kenapa app yg milik pemerintah sering crash,,,",Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3117,movie collection,1,2026-08-21,"gw mau daftar antrian ke faskel II, koq nggak bisa, 'cek koneksi internet anda, padahal internet gw nggak ada masalah",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3118,Andi Pramana Hakim,1,2026-08-21,aplikasi menjekelkan. tiba waktu di perlukan untuk berobat. malah update2 segala. kalau update yg tidak penting gak usah lha update2. bukan untuk mempermudah malah menyulitkan,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3119,ABDUL MUHLIS,5,2026-08-21,Ok,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3120,rengga permana,1,2026-08-21,"aplikasi prematur,malah nyusahin",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3121,Suriyadhy Love Story,3,2026-08-21,aplikasi super ribet giliran gak di perluin lancar giliran di perluin bnyak bnget gangguanya yg eror lah yg koneksi gak jelas lah padahal pakek dua wifi iya data iya masa koneksi gak ada buruk bnget aplikasi kyak gini,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3122,Lucky “GolCy” N2,1,2026-08-21,"mo daftar tdk bisa karena ada notif internet tdk ada, padahal buka aplikasi lain bisa, emang sengaja di buat begitu ...payah.... jelek padahal saya bayar mandiri kls 1 sekeluarga 6 org.....👎👎",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
3123,Ranviero Baskara,1,2026-08-21,"masa capcha nya ngga nongol2, muter2 trus aja ditungguin ga keluar2, masalahnya kan kalo mau login harus pake capcha",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3124,Sopi Firmansyah,1,2026-08-21,aplikasi cacat! disaat urgent2nya mau login aja nyusahin! tolonglah aplikasi model bgni ga usah di bikin ribet dong!,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3125,Vika Chairunisa,1,2026-08-21,Tolong diperbaiki lagi sistem nya suka error dan lemot,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3126,Wida Muslimah,1,2026-08-21,"aplikasi bobrok, apaan koneksi jaringan bagus juga eh aplikasinya malah bilang koneksi internet tidak aktif, tolong perbaikin yang bener",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3127,Yuny Simatupang,5,2026-08-21,keren,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3128,Yusuf Zakaria,5,2026-08-21,"aplikasi yang sangat mudah setiap transaksi, terimakasih atas layanan yang diberikan",Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3129,Maryani Yani,5,2026-08-21,bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3130,Helmy Bang Bendot,5,2026-08-21,mobile JKN mantab mempermudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3131,Sintauli Purba,1,2026-08-21,Aplikasi sangat menyusahkan masyarakat. Masa aplikasi tidak kompatibel dengan hp keluaran 2020. Hp di rumah cuman ada hp keluaran 2018 sampe 2021. tidak ada yg bisa install aplikasi Jkn Mobile. tolong KLO buat aplikasi yg bisa mensupport semua jangkauan masyarakat ya. KLO begini gimana mau berobat! Masa setiap bulan bayar BPJS dan juga perlu beli hp baru sih!!! MENGECEWAKAN,Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
3132,Novryan dwicahyo,5,2026-08-21,terbaik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3133,Senbei Norimaki,1,2026-08-21,aplikasi ga guna,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3134,clara mofu,5,2026-08-21,bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3135,Sobat Bercahaya,5,2026-08-21,Sudak oke. Moga makin bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3136,Nurul Mardiah,5,2026-08-21,gercep,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3137,Nolvy Kilanta,5,2026-08-21,top,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3138,Indra Lesmana,5,2026-08-21,mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3139,Ambrus Adithya,5,2026-08-21,memudahkan untuk pindah paskes,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3140,Indah Wati,5,2026-08-21,bgus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3141,Mayah,5,2026-08-21,mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3142,Pili Firmansyah,5,2026-08-21,terbaikkkkkk,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3143,Zenzen Oke,5,2026-08-21,aplikasi mudah digunakan dan sangat bermanfaat,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3144,Syahnada Ramadhan,5,2026-08-21,pokoknya sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3145,Lilik Yuliana,5,2026-08-21,aplikasi ini sangat membantu saat berobat,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3146,Dina Aprilya,1,2026-08-21,"sering bngt ngebug, bikin bingung,",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
3147,Yuhardi Syahputra,5,2026-08-21,sangat bermanfaat,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3148,Muhammad Arief Suryanto,1,2026-08-21,dari 14 agustus sampai 21 Agustus masih error nih aplikasi. harus mendaftar langsung di dokter praktek,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3149,Ari Fin,5,2026-08-21,Bagus aplikasinya,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3150,Hasyim Gonzales,2,2026-08-21,sering eror,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3151,Wahid efendy,3,2026-08-21,mohon diperbaiki aplikasi ini karena banyak menu yg tidak berjalan dengan baik. 1. pendaftaran antrean kadang bermasalah 2. riwayat pelayanan tidak lengkap semoga aplikasi ini mendapatkan Update sehingga dapat membantu memudahkan masyarakat untuk mendapatkan pelayanan kesehatan yang lebih baik.. terimakasih,Netral,Positif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,true
3152,Abdul Abdul,3,2026-08-21,mempermudah pelayanan,Netral,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3153,Dewi Christiani,2,2026-08-21,"mau daftar online ke faskes tingkat pertama selalu gagal , ""jadwal tidak ditemukan"" , anehh ..",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
3154,Charis Y,5,2026-08-21,jos,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3155,Dede lery Nurazizah,5,2026-08-21,assalamualaikum,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3156,Rasik B.a,1,2026-08-21,"daftar buat akun, tapi verifikasi no telpon gada sms yang masuk. alhasil setiap daftar mulai dari awal. sampai sekarang verifikasi no telpon doang yang bobrok. buat apa ada verifikasi gmail kalo daftar mesti verif no hp. gada sms masuk sama sekali payah",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3157,Raifan Alifiyansyah,5,2026-08-21,mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3158,telkomsat rri,5,2026-08-21,tolong obatnya dong dikasih obat mentang2 BPJS sedikit sekali,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3159,Hanifa Shol20,5,2026-08-21,iyaaaaaaaaa baaaaik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3160,Azy Ivanka,4,2026-08-21,Fitur menu Tagihan kurang lengkap/detel. hanya tagihan global perbulan. rincian dari tenor Rehab tidak detail jumlah; mana belum bayar & sudah terbayar,Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
3161,kabar tilembur,5,2026-08-21,"ini aplikasi sebenarnya berguna banget, cuma masih sering banyak error , server failed, tolong cepet di perbaiki, ini kan ceritanya buat ngemudahin masyarakat , eh ko malah makin ngeribetin.",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 5: Ulasan berisi keluhan keras terkait masalah teknis & bug ('ini aplikasi sebenarnya berguna banget, cuma ...'), terdeteksi sentimen negatif tersirat.",false
3162,Rana Rafsanzani,5,2026-08-21,Gak bisa register cuma loading aja. Tlong dperbaiki. Thanks,Positif,Negatif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 5: Ulasan berisi keluhan keras terkait masalah teknis & bug ('Gak bisa register cuma loading aja. Tlong dpe...'), terdeteksi sentimen negatif tersirat.",false
3163,Ucan Cnika,2,2026-08-21,tidak bisa di pasang perangkat anda tidak kompatibel di versi ini,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3164,Rustri Channel,1,2026-08-21,"Okelah 1 NIK 1 akun, seharusnya NIK tersebut otomatis tersinkronisasi dengan KK baru atau setidaknya bisa dirubah mandiri tanpa datang ke kantor BPJS, kalau sistem seperti saat ini pasti banyak ketimpangan data dan setiap anggota keluarga harus membuat akun setiap perubahan data KK cuma sekedar memantau kepesertaan anggota keluarga.",Negatif,Positif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",true
3165,Agus Herman,1,2026-08-21,tolong lah admin gimana ni mau verifikasi akun gak bisa2 nomer otp nya gak di kirim2 sumpah ni mau ambil antrian rs loh dari rs suruh ambil no antrian online giliran online nya apk nya gak jelas mintak nomer otp aja kek mau ngirim apa lah susah kali tolong woy d perbaiki lah ni apk orang mau berobat aja susah nya mintak ampun,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3166,Isna Ariyani,5,2026-08-21,mudahkan,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3167,Dede Irwan,5,2026-08-21,kenapa g bisa didowlod,Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
3168,Rustan Badaruddin,5,2026-08-21,Mudah digunakan,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3169,Syandrawan Oke,5,2026-08-21,segala urusan baik berobat kontrol mau pun rawat inap selalu lancar dan cepat terima kasih jkn,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3170,Putro Imanuel,5,2026-08-21,mempersulit orang khususnya lansia.,Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
3171,Arman Dwijaya,1,2026-08-21,"ini Aplikasi gmana sih? Gua Mau Daftar untuk berobat Ga bisa"" dari kemaren, Padahal daftar anterin yg tertera belom penuh, tp pas daftar malah ga bisa. aneh banget org mau berobat aja susah banget .",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
3172,Hesti Mandasari,5,2026-08-21,keren,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3173,M Hilmi Suhendi,1,2026-08-21,aplikasi bobrok,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3174,hesti Akra,5,2026-08-21,sangat membantu dalam mengambil antrian terutama di rumah sakit,Positif,Positif,Positif,Apresiasi & Kepuasan,Pengguna mengapresiasi kemudahan antrean online dan efisiensi waktu faskes.,false
3175,Dede Cbbr,5,2026-08-21,"sangat membantu dan mudah di gunakan, dengan intruksi yang mudah di fahami",Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3176,mamas syifa,5,2026-08-21,"lebih mudah, cepat dan praktis",Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3177,Bang pebb,2,2026-08-21,Pendaftaran lama bgt verifikasi SMS ga muncul muncul kode otpnya,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3178,Faizal Yusuf,1,2026-08-21,mantap aplikasi sampah,Positif,Positif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,true
3179,Yana Anay,4,2026-08-21,pelayanannya cepat,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3180,TIARA APRILIA PUTRI,1,2026-08-21,aplikasi erorrrrr,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3181,Eko Ari Prabowo,5,2026-08-21,"Tidak bisa log in, padahal sebelumnya udah log in tapi di suruh log in lagi",Positif,Negatif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 5: Ulasan berisi keluhan keras terkait masalah teknis & bug ('Tidak bisa log in, padahal sebelumnya udah lo...'), terdeteksi sentimen negatif tersirat.",false
3182,Thurmizi Banda,5,2026-08-21,Alhamdulillah,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3183,Ansor Faturrohman,5,2026-08-21,good apl,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3184,Moh Alif Alfaizar,5,2026-08-21,sangat bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3185,susi lahuddin,5,2026-08-21,sangat mudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3186,Dwi Purwanto,5,2026-08-21,top,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3187,Guil Baros,5,2026-08-21,Mobile JKN sangat membantu dan saya sangat senang mengunakan aplikasi mobile JKN,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3188,Murni Asih,5,2026-08-21,skrg lebih enak ada jkn,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3189,Dink Nob,1,2026-08-21,YANG LAIN BISA DI DOWNLOAD.. CUMA APK INI AJA KAGA BISA D DOWLOAD ANEHH.. PADHAAL GA SAMPE 100 MB TAPI KAGA BISA D DOWNLOAD,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3190,AEL Junior,1,2026-08-21,dah 3 hari mendaftar ngk ada kode otp no hp .. susah urusan pemerintah.. padahal bayar bukan gratis,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3191,Bima Yonda Setyawan,1,2026-08-21,Susah verivikasi wajah ini gimana tooooo woiiiii,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna kesulitan dalam verifikasi biometrik pengenalan wajah saat pendaftaran / perubahan data.,false
3192,Buddhyyudha Irvansyah,5,2026-08-21,Pelayanan cepat dan profesional Mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3193,RENALDI EP,5,2026-08-21,oke mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3194,Rehan Alvaro,5,2026-08-21,sangat membantu dan mudah...terimakasih banyak sudah membantu warga,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3195,Alfian Joddi,1,2026-08-21,sms kode gak muncul semua apalah coba,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3196,Siti Aisah,5,2026-08-21,"Bagus aplikasinya , dipertahan kan di perbaiki supaya lebih mudah dan bagus",Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3197,Khusaeri Azzi,1,2026-08-21,kode Verifikasi telepon sangat lama muncul,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
3198,Beni Megi Zoni,5,2026-08-21,mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3199,Yeni Idawati,5,2026-08-21,terbaik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3200,Pnm Rsa,1,2026-08-21,apikasi kaga jelas!! cek setatus pembayar an aja ngga becus aplikasi sering ganguan lah apa lah GAK JELAS!!,Negatif,Negatif,Negatif,Administrasi & Iuran,"Pengguna mengeluhkan kendala mutasi data pembayaran, pengecekan tagihan, atau status autodebet iuran.",false
3201,Setyadi Grab,5,2026-08-21,mantap prosesnya cepat,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3202,Malika Kenzie,5,2026-08-21,sangat membantu banget.,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3203,Ruci Wati17,5,2026-08-21,aplikasi JKN mempermudah puas bget,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3204,Azhara 11Shanum20shani,5,2026-08-21,"sangat membantu, pelayanan BPJS kesehatan cabang lahat penyanannya di The best, smoga bisa terus di pertahan kan",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3205,Kristopel Pernando Marulitua Marpaung,5,2026-08-21,mudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3206,Wawan Santoso,5,2026-08-21,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3207,Randy Brente,1,2026-08-21,"aplikasi sengaja dibuat ribet biar gak banyak yg ke RS, biar sakit tambah parah terus mati.",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
3208,elia enos,5,2026-08-21,good,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
